A,B
eed,ddx24
eed,pdlim1
eed,lmnb1
eed,cct7
eed,hip1
eed,rps8
eed,mta3
eed,rad21
eed,bax
eed,psmd2
eed,galk1
eed,krt18
eed,magoh
eed,chchd3
eed,rpl23
eed,ctcf
eed,rpl4
eed,slc25a5
eed,abce1
eed,ostc
eed,gsn
eed,myh10
eed,rab2a
eed,hcfc1
eed,ddx17
eed,uba2
eed,ncapd2
eed,rps3
eed,eif3g
eed,sf3b3
eed,rpl27a
eed,ttc21b
eed,baz1a
eed,smc1a
eed,smc3
eed,lrpprc
eed,usp9x
eed,myo5b
eed,pdcd6ip
eed,lims1
eed,rangap1
eed,ruvbl2
eed,ruvbl1
eed,metap2
eed,tpm1
eed,psmc1
eed,prpf19
eed,mybbp1a
eed,drosha
eed,hsph1
eed,mcm6
eed,hnrnpd
eed,cct5
eed,cct3
eed,cct6a
eed,psmd1
eed,cnot1
eed,pcbp2
eed,clic1
eed,smc2
eed,ipo5
eed,arhgdia
eed,hnrnpk
eed,flna
eed,snd1
eed,pcnt
eed,atp6v0a1
eed,hnrnph1
eed,uqcrq
eed,stom
eed,ran
eed,flot2
eed,ddx6
eed,myl12b
eed,mad2l1
eed,psmc2
eed,arpc2
eed,gdi2
eed,sec31a
eed,atp6v0d1
eed,arf4
eed,lgals1
eed,rnpep
eed,plxnb2
eed,son
eed,nup93
eed,ddx3x
eed,agpat5
eed,psmg2
eed,ssrp1
eed,usp48
eed,nsun2
eed,samm50
eed,hdlbp
eed,ston2
eed,psmd3
eed,psmd12
eed,cct4
eed,xrn2
eed,ipo4
eed,map4
eed,tuba1c
eed,hnrnpc
eed,srp68
eed,slc16a1
eed,tuba1b
eed,dstn
eed,gfpt1
eed,aprt
eed,utp20
eed,ftsj3
eed,smc4
eed,eprs
eed,rpl18
eed,hsd17b12
eed,mcm4
eed,eif2s2
eed,myo1d
eed,nup85
eed,hk2
eed,mogs
eed,mfsd10
eed,ndufs1
eed,kif18b
eed,imp4
eed,rpn2
eed,snx3
eed,birc6
eed,nop58
eed,rps27l
eed,hnrnpm
eed,gnl3
eed,phgdh
eed,nup160
eed,lig1
eed,mtch2
eed,smchd1
eed,vps53
eed,sfxn1
eed,vps13c
eed,tmem14c
eed,rfc4
eed,rrp1b
eed,dctn5
eed,ddx1
eed,eif3m
eed,isg20l2
eed,srrt
eed,rplp2
eed,ddx39
eed,atp5c1
eed,coro1b
eed,ttll12
eed,efhd2
eed,plod1
eed,anln
eed,atp5o
eed,nop14
eed,mars
eed,rpl37a
eed,ahsa1
eed,pwp2
eed,bola2
eed,tbc1d17
eed,xpnpep1
eed,bmp2k
eed,ncbp1
eed,pycr2
eed,bzw1
eed,nat10
eed,tomm22
eed,uqcr10
eed,cbr1
eed,rps10
eed,hnrnpab
eed,usp10
eed,plod3
eed,rrp9
eed,eftud2
eed,rpl13
eed,eif5b
eed,cct8
eed,get4
eed,skiv2l2
eed,eif3c
eed,heatr3
eed,ddx27
eed,rab3il1
