A,B
ywhae,gm5507
ywhae,gm8349
ywhae,gm8318
ywhae,gm4804
ywhae,gm12033
ywhae,gm6946
ywhae,gm12070
ywhae,gm7286
ywhae,gm8174
ywhae,gm10284
ywhae,gm3695
ywhae,gm4217
ywhae,gm16374
ywhae,gm3200
ywhae,gm12537
ywhae,gm4335
ywhae,gm8100
ywhae,gm4609
ywhae,gm7545
ywhae,gm10359
ywhae,gm2451
ywhae,gm9034
ywhae,gm8513
ywhae,gm4575
ywhae,gm11658
ywhae,gm8825
ywhae,gm7507
ywhae,gm14148
ywhae,gm9127
ywhae,gm10291
ywhae,gm7611
ywhae,gm13292
ywhae,gm4691
ywhae,gm2445
ywhae,gm9081
ywhae,gm12286
ywhae,gm7183
ywhae,gm7129
ywhae,gm10566
ywhae,gm10293
ywhae,gm8055
ywhae,gm7784
ywhae,gm16470
ywhae,gm10327
ywhae,gm12416
ywhae,gapdh-ps14
ywhae,gm11953
ywhae,gm3809
ywhae,gm3671
ywhae,gm5138
ywhae,gm6944
ywhae,gm2574
ywhae,gm7293
ywhae,gm5652
ywhae,gm10290
ywhae,gm13882
ywhae,gm14130
ywhae,gm5678
ywhae,crtc1
ywhae,gm6540
ywhae,gm9276
ywhae,gm5525
ywhae,gm4366
ywhae,gm4462
ywhae,gm5920
ywhae,gm3608
ywhae,rab3ip
ywhae,3632413a11rik
ywhae,gm8806
ywhae,slc25a5-ps
ywhae,gm5529
ywhae,gm5256
ywhae,gm5822
ywhae,gm6789
ywhae,gm6392
ywhae,gm6767
ywhae,gm6548
ywhae,gm6170
ywhae,gm5869
ywhae,gm7105
ywhae,gm6192
ywhae,brsk2
ywhae,mrip-ps
ywhae,mprip
ywhae,gm11560
ywhae,rcn1
ywhae,tor1b
ywhae,cops7b
ywhae,nmt1
ywhae,shmt2
ywhae,nabp2
ywhae,ints3
ywhae,brd2
ywhae,plin4
ywhae,irf2bpl
ywhae,acsl4
ywhae,cd2bp2
ywhae,specc1
ywhae,dync1li1
ywhae,fam129a
ywhae,fyttd1
ywhae,nop53
ywhae,kri1
ywhae,leng8
ywhae,mphosph10
ywhae,rexo4
ywhae,sugp1
ywhae,sipa1l1
ywhae,slu7
ywhae,snrpa
ywhae,wdr33
ywhae,zfp148
ywhae,naglu
ywhae,ciao1
ywhae,rabep1
ywhae,vcan
ywhae,ankhd1
ywhae,hspbp1
ywhae,mrpl2
ywhae,hspe1
ywhae,cox7a2
ywhae,jpt1
ywhae,ppid
ywhae,txnl4a
ywhae,cstf3
ywhae,brd3
ywhae,atpif1
ywhae,pcbp3
ywhae,impdh1
ywhae,fhod1
ywhae,abca8b
ywhae,exoc3l4
ywhae,rgs6
ywhae,serpinb6a
ywhae,inmt
ywhae,stag2
ywhae,aqr
ywhae,glipr2
ywhae,farsb
ywhae,nup133
ywhae,vill
ywhae,nol11
ywhae,tmem11
ywhae,pip4k2c
ywhae,ndufa6
ywhae,p4ha2
ywhae,eps8l2
ywhae,nrk
ywhae,capns1
ywhae,sept3
ywhae,dzank1
ywhae,ptprk
ywhae,zfp385a
ywhae,zfp787
ywhae,s100b
ywhae,pak4
ywhae,ppp1r10
ywhae,sap30bp
ywhae,tcof1
ywhae,ppp6r2
ywhae,sh3pxd2b
ywhae,kif21a
ywhae,cpt2
ywhae,ndufb9
ywhae,mtx2
ywhae,auh
ywhae,d10jhu81e
ywhae,vwa5a
ywhae,tpd52l2
ywhae,elavl3
ywhae,ubap2
ywhae,zc2hc1a
ywhae,anapc1
ywhae,spats2
ywhae,rai1
ywhae,nol9
ywhae,pla2g15
ywhae,ccdc124
ywhae,phldb2
ywhae,spen
ywhae,blzf1
ywhae,dek
ywhae,acot13
ywhae,fbln1
ywhae,zswim8
ywhae,cactin
ywhae,enoph1
ywhae,usp3
ywhae,xrcc3
ywhae,nfia
ywhae,iws1
ywhae,ccsap
ywhae,gad1
ywhae,dctn4
ywhae,dnajc11
ywhae,gdap1l1
ywhae,gdap1
ywhae,hapln1
ywhae,inpp4a
ywhae,mecr
ywhae,mpp3
ywhae,endog
ywhae,omg
ywhae,pcca
ywhae,bcan
ywhae,sfxn5
ywhae,sv2a
ywhae,hpca
ywhae,nrxn3
ywhae,eif4e2
ywhae,ino80b
ywhae,mcf2l
ywhae,spon1
ywhae,cpe
ywhae,ctsz
ywhae,gys2
ywhae,stbd1
ywhae,pccb
ywhae,got2
ywhae,tnnt2
ywhae,myh7
ywhae,pard6b
ywhae,ak3
ywhae,psd2
ywhae,nolc1
ywhae,lyar
ywhae,fnbp4
ywhae,rae1
ywhae,sez6l2
ywhae,m6pr
ywhae,guk1
ywhae,nob1
ywhae,dnajb4
ywhae,ddc
ywhae,gna12
ywhae,bcas2
ywhae,zfp207
ywhae,tnks1bp1
ywhae,knop1
ywhae,cpne3
ywhae,msln
ywhae,rbm7
ywhae,afmid
ywhae,srpk1
ywhae,sfswap
ywhae,prpf38a
ywhae,nipsnap3b
ywhae,rabgap1
ywhae,prps1l1
ywhae,pon1
ywhae,eml2
ywhae,mfap4
ywhae,ltbp4
ywhae,snrpa1
ywhae,ampd3
ywhae,acss1
ywhae,acadm
ywhae,acadl
ywhae,nebl
ywhae,acad10
ywhae,atp5j
ywhae,hibch
ywhae,mrps36
ywhae,acot2
ywhae,cavin4
ywhae,gfm1
ywhae,selenbp1
ywhae,txlnb
ywhae,col6a2
ywhae,aqp1
ywhae,ndufb10
ywhae,myl4
ywhae,dnpep
ywhae,tbrg4
ywhae,agps
ywhae,tns3
ywhae,aldh16a1
ywhae,papss1
ywhae,evpl
ywhae,irf2bp1
ywhae,srp54b
ywhae,nup35
ywhae,isy1
ywhae,fam208a
ywhae,api5
ywhae,cstf1
ywhae,llph
ywhae,rbm22
ywhae,nup54
ywhae,ndufb7
ywhae,dazap1
ywhae,slirp
ywhae,cstf2
ywhae,cwf19l2
ywhae,serpinb6b
ywhae,alyref2
ywhae,ccdc86
ywhae,cfdp1
ywhae,kin
ywhae,lsm7
ywhae,fam96b
ywhae,msrb3
ywhae,osbpl11
ywhae,ppme1
ywhae,polr2l
ywhae,cenpi
ywhae,mrps24
ywhae,pam16
ywhae,fndc10
ywhae,pnisr
ywhae,fggy
ywhae,zfp804a
ywhae,fhad1
ywhae,slc25a25
ywhae,lrrc63
ywhae,dhtkd1
ywhae,procr
ywhae,dpy19l1
ywhae,ngdn
ywhae,nccrp1
ywhae,serpinb9e
ywhae,gpt
ywhae,clcn6
ywhae,casq2
ywhae,gsto1
ywhae,pitpnc1
ywhae,nfu1
ywhae,bcat2
ywhae,mgll
ywhae,lama4
ywhae,atp8a2
ywhae,serpina1d
ywhae,serpina1c
ywhae,sgk2
ywhae,cyp2s1
ywhae,prodh2
ywhae,scgb1a1
ywhae,chil3
ywhae,ppfibp2
ywhae,dhdh
ywhae,fxn
ywhae,aox1
ywhae,aldh1a7
ywhae,gamt
ywhae,glyctk
ywhae,hmgb3
ywhae,fam136a
ywhae,lgals7
ywhae,tpmt
ywhae,mbnl3
ywhae,tppp3
ywhae,acot1
ywhae,chad
ywhae,gale
ywhae,pdlim3
ywhae,coasy
ywhae,rprd1b
ywhae,creg1
ywhae,f5
ywhae,cradd
ywhae,ahsp
ywhae,abca3
ywhae,f3
ywhae,rbpms2
ywhae,mcat
ywhae,prelp
ywhae,4833439l19rik
ywhae,pcsk2
ywhae,ist1
ywhae,aspa
ywhae,l3hypdh
ywhae,cadm4
ywhae,car5a
ywhae,tsta3
ywhae,bcat1
ywhae,th
ywhae,clybl
ywhae,purg
ywhae,abhd1
ywhae,il1r2
ywhae,celf1
ywhae,dcn
ywhae,saa4
ywhae,apoc3
ywhae,hspb7
ywhae,folr1
ywhae,txk
ywhae,cox17
ywhae,akr1b8
ywhae,man1a
ywhae,adss
ywhae,gsr
ywhae,aldh3a1
ywhae,nsg2
ywhae,tbca
ywhae,rpia
ywhae,gad2
ywhae,coq5
ywhae,cox8b
ywhae,h2-ke6
ywhae,ctsh
ywhae,ftl2-ps
ywhae,cox7a1
ywhae,shmt1
ywhae,arsa
ywhae,uros
ywhae,gla
ywhae,cox6b1
ywhae,clcn3
ywhae,lum
ywhae,gss
ywhae,tst
ywhae,upp1
ywhae,sult1a1
ywhae,pitpna
ywhae,tango2
ywhae,pmpcb
ywhae,arpp19
ywhae,dhrs7
ywhae,cdyl
ywhae,ssu72
ywhae,acot8
ywhae,uroc1
ywhae,cyp2a12
ywhae,plxdc2
ywhae,guca1b
ywhae,gsta1
ywhae,abat
ywhae,smpdl3a
ywhae,hsdl2
ywhae,fahd2a
ywhae,lyplal1
ywhae,ldhd
ywhae,acad11
ywhae,timm29
ywhae,dglucy
ywhae,echs1
ywhae,iars2
ywhae,chdh
ywhae,acp6
ywhae,acot4
ywhae,acox3
ywhae,ccdc90b
ywhae,akr7a5
ywhae,ugt3a2
ywhae,acot11
ywhae,4931406c07rik
ywhae,acsm1
ywhae,cbr4
ywhae,cryl1
ywhae,sardh
ywhae,grpel1
ywhae,ndufs5
ywhae,pecr
ywhae,mrpl3
ywhae,oxsm
ywhae,bola1
ywhae,gatm
ywhae,acot12
ywhae,dmgdh
ywhae,tm9sf1
ywhae,pmpca
ywhae,ethe1
ywhae,hoga1
ywhae,enpp5
ywhae,aldh9a1
ywhae,acox2
ywhae,ak4
ywhae,decr2
ywhae,aadat
ywhae,ilkap
ywhae,nadk2
ywhae,cd93
ywhae,gnpda1
ywhae,cyct
ywhae,d8ertd738e
ywhae,gm7426
ywhae,adgrg3
ywhae,cfd
ywhae,ada
ywhae,cfb
ywhae,ints11
ywhae,prl2c3
ywhae,bud13
ywhae,ren1
ywhae,ero1l
ywhae,orm2
ywhae,rpp40
ywhae,slc38a4
ywhae,zfp830
ywhae,c4bp
ywhae,coq6
ywhae,gzme
ywhae,gzmc
ywhae,hoxb3
ywhae,gfm2
ywhae,prl3b1
ywhae,gle1
ywhae,ctbs
ywhae,sdsl
ywhae,nepro
ywhae,otc
ywhae,gzmd
ywhae,nudt4
ywhae,ctla2a
ywhae,cyp2b9
ywhae,scg5
ywhae,gzmg
ywhae,slc4a2
ywhae,mcam
ywhae,bpgm
ywhae,gstm2
ywhae,bmp10
ywhae,cygb
ywhae,cend1
ywhae,hmgn5
ywhae,commd5
ywhae,evc
ywhae,slc16a3
ywhae,fermt1
ywhae,elof1
ywhae,ensa
ywhae,vbp1
ywhae,nae1
ywhae,vsnl1
ywhae,hpgd
ywhae,scrn2
ywhae,cyp4f15
ywhae,upb1
ywhae,gpc1
ywhae,sult4a1
ywhae,cplx1
ywhae,pcp4
ywhae,npr3
ywhae,lxn
ywhae,habp4
ywhae,nit1
ywhae,ccdc97
ywhae,hdhd3
ywhae,rdh10
ywhae,fbp2
ywhae,nucb2
ywhae,cyp2d22
ywhae,cplx2
ywhae,bpifa1
ywhae,sms
ywhae,serping1
ywhae,sephs2
ywhae,tep1
ywhae,anxa11
ywhae,pepd
ywhae,gspt2
ywhae,perm1
ywhae,tsfm
ywhae,cd163
ywhae,c030006k11rik
ywhae,commd8
ywhae,gpsm3
ywhae,lgalsl
ywhae,apip
ywhae,arhgap17
ywhae,nol8
ywhae,naalad2
ywhae,mospd1
ywhae,erlec1
ywhae,p3h1
ywhae,ubn1
ywhae,snx33
ywhae,serpinb9g
ywhae,echdc3
ywhae,trmt112
ywhae,fam114a2
ywhae,mrpl10
ywhae,hmgn3
ywhae,xylb
ywhae,smyd5
ywhae,cwc27
ywhae,pbld1
ywhae,fam131b
ywhae,inip
ywhae,npl
ywhae,zfp655
ywhae,wdr13
ywhae,wdr54
ywhae,dhrs9
ywhae,commd1
ywhae,irgq
ywhae,rdh1
ywhae,timm9
ywhae,mettl26
ywhae,sap30l
ywhae,thnsl2
ywhae,prpf40b
ywhae,trmt61a
ywhae,ttc33
ywhae,s100pbp
ywhae,bcas1
ywhae,xylt1
ywhae,rnf214
ywhae,ahcyl1
ywhae,blvrb
ywhae,ggact
ywhae,elac2
ywhae,slc20a2
ywhae,fnbp1
ywhae,rtn4ip1
ywhae,snph
ywhae,pcyt2
ywhae,gmppa
ywhae,pfdn5
ywhae,stard13
ywhae,pgm1
ywhae,ai597479
ywhae,tmem35a
ywhae,sez6
ywhae,lamp5
ywhae,celf4
ywhae,coro2b
ywhae,rab11fip1
ywhae,fut11
ywhae,clic6
ywhae,serpinb9c
ywhae,snx14
ywhae,aa986860
ywhae,naga
ywhae,cd99l2
ywhae,mustn1
ywhae,nagpa
ywhae,akr1b10
ywhae,pappa2
ywhae,ggt7
ywhae,ablim2
ywhae,rragc
ywhae,celf2
ywhae,2310011j03rik
ywhae,ufsp2
ywhae,gbe1
ywhae,plcxd3
ywhae,slc39a3
ywhae,cadm2
ywhae,emilin1
ywhae,gns
ywhae,gatd1
ywhae,phyhipl
ywhae,efhd1
ywhae,sec14l2
ywhae,nelfa
ywhae,cyp2b10
ywhae,thumpd1
ywhae,slc6a5
ywhae,scoc
ywhae,naa38
ywhae,cars
ywhae,psg23
ywhae,cryzl1
ywhae,mgat2
ywhae,pomt2
ywhae,zc2hc1b
ywhae,d3ertd751e
ywhae,pmm2
ywhae,hpcal4
ywhae,fndc3b
ywhae,adarb1
ywhae,rbm26
ywhae,dnajc8
ywhae,thap4
ywhae,zfp280c
ywhae,sncb
ywhae,kank4
ywhae,polr2m
ywhae,cox20
ywhae,1700037h04rik
ywhae,prkab2
ywhae,rhox9
ywhae,coro7
ywhae,abhd10
ywhae,nkx2-4
ywhae,gatad1
ywhae,dhx29
ywhae,kcnip4
ywhae,gpihbp1
ywhae,cr1l
ywhae,ripor1
ywhae,elfn2
ywhae,ahcyl2
ywhae,b4galt3
ywhae,lpgat1
ywhae,chil4
ywhae,coro6
ywhae,tmlhe
ywhae,u2surp
ywhae,zfp740
ywhae,sdf2
ywhae,trmt5
ywhae,bc017158
ywhae,lamb3
ywhae,prtn3
ywhae,rbm42
ywhae,bcam
ywhae,ppp1r14a
ywhae,thsd1
ywhae,nt5dc2
ywhae,pla2r1
ywhae,psg17
ywhae,asl
ywhae,aldh1a2
ywhae,mcee
ywhae,coch
ywhae,osbpl1a
ywhae,ppp1r1b
ywhae,prl2c5
ywhae,ly75
ywhae,bpifb1
ywhae,nt5c3
ywhae,ap1m2
ywhae,dap
ywhae,alcam
ywhae,gne
ywhae,pgm2
ywhae,dtd1
ywhae,serpinf2
ywhae,hdhd5
ywhae,spryd4
ywhae,angpt4
ywhae,fdxr
ywhae,akr1c14
ywhae,mier1
ywhae,nudt12
ywhae,pip4p2
ywhae,slc30a1
ywhae,igfbp7
ywhae,kyat1
ywhae,dpp9
ywhae,larp4
ywhae,mbnl2
ywhae,tbcel
ywhae,acat2
ywhae,dpyd
ywhae,hmgcs1
ywhae,dcxr
ywhae,mat2b
ywhae,mri1
ywhae,phyhd1
ywhae,iah1
ywhae,hddc3
ywhae,ogn
ywhae,prcc
ywhae,cd34
ywhae,bst1
ywhae,cxcl15
ywhae,ptgr1
ywhae,trappc2l
ywhae,mrpl53
ywhae,qars
ywhae,ganc
ywhae,prss8
ywhae,clic3
ywhae,eif2b2
ywhae,camk1d
ywhae,mvk
ywhae,pithd1
ywhae,lypla2
ywhae,clptm1l
ywhae,pigt
ywhae,itpk1
ywhae,dohh
ywhae,ccser1
ywhae,tns2
ywhae,adprhl2
ywhae,ppp1r17
ywhae,mdp1
ywhae,sars2
ywhae,haghl
ywhae,lyrm7
ywhae,wfdc2
ywhae,sugp2
ywhae,mcm3ap
ywhae,tpbpa
ywhae,1700019d03rik
ywhae,psg21
ywhae,mrpl42
ywhae,flywch1
ywhae,rftn2
ywhae,fdx1l
ywhae,srek1
ywhae,arhgef10
ywhae,nol7
ywhae,sult1c2
ywhae,me3
ywhae,mettl2
ywhae,kdelc2
ywhae,aspn
ywhae,gpc5
ywhae,cnn1
ywhae,miox
ywhae,nudt3
ywhae,riox2
ywhae,agbl2
ywhae,ppwd1
ywhae,bola3
ywhae,pcsk1n
ywhae,tmtc3
ywhae,kansl2
ywhae,slc15a3
ywhae,exosc8
ywhae,adh7
ywhae,palm2
ywhae,she
ywhae,dpp7
ywhae,ndrg4
ywhae,armc1
ywhae,enpp4
ywhae,ptgfrn
ywhae,itgax
ywhae,ptcd1
ywhae,golim4
ywhae,cndp1
ywhae,mettl7a1
ywhae,kdsr
ywhae,tpbpb
ywhae,fnbp1l
ywhae,celf3
ywhae,vwf
ywhae,thtpa
ywhae,ccnl2
ywhae,cpne5
ywhae,eipr1
ywhae,alg5
ywhae,taco1
ywhae,mcts1
ywhae,gpatch1
ywhae,btbd17
ywhae,eif4e3
ywhae,txndc17
ywhae,rab5if
ywhae,tysnd1
ywhae,fmo2
ywhae,otud6b
ywhae,serpinb9d
ywhae,ifi30
ywhae,cc2d1b
ywhae,dguok
ywhae,ovca2
ywhae,pir
hsd3b4,ctnna1
hsd3b4,vcl
hsd3b4,uqcrc1
hsd3b4,sod2
hsd3b4,actb
hsd3b4,atp5b
hsd3b4,afg3l2
hsd3b4,atp1b1
hsd3b4,vdac1
hsd3b4,ezr
hsd3b4,cox8a
hsd3b4,hspd1
hsd3b4,rab1b
hsd3b4,ganab
hsd3b4,hsp90b1
hsd3b4,cltc
hsd3b4,hyou1
hsd3b4,hsp90ab1
hsd3b4,tomm70a
hsd3b4,dlst
hsd3b4,pdha1
hsd3b4,hsd17b10
hsd3b4,rps20
hsd3b4,actn1
hsd3b4,cttn
hsd3b4,hspa8
hsd3b4,eif4a1
hsd3b4,actr3
hsd3b4,eif3b
hsd3b4,sod1
hsd3b4,ctsd
hsd3b4,h3f3a
hsd3b4,isg15
hsd3b4,eef2
hsd3b4,mdh2
hsd3b4,gpi1
hsd3b4,myh9
hsd3b4,anxa6
hsd3b4,sord
hsd3b4,clpp
hsd3b4,pdia3
hsd3b4,atp2a2
hsd3b4,sdha
hsd3b4,slc25a3
hsd3b4,tmed10
hsd3b4,lrp1
hsd3b4,macf1
hsd3b4,cdc42
hsd3b4,rpn1
hsd3b4,add1
hsd3b4,calr
hsd3b4,vim
hsd3b4,atp1a3
hsd3b4,ap2a2
hsd3b4,itgb1
hsd3b4,dnajb11
hsd3b4,nsf
hsd3b4,sdhc
hsd3b4,sdhb
hsd3b4,vps35
hsd3b4,picalm
hsd3b4,acsl1
hsd3b4,ndufv1
hsd3b4,slc25a4
hsd3b4,canx
hsd3b4,eef1g
hsd3b4,lcp1
hsd3b4,cnn3
hsd3b4,glg1
hsd3b4,por
hsd3b4,fbp1
hsd3b4,prdx2
hsd3b4,immt
hsd3b4,nme1
hsd3b4,acot7
hsd3b4,ndufs2
hsd3b4,cs
hsd3b4,uqcrc2
hsd3b4,atp5a1
hsd3b4,lap3
hsd3b4,cfl1
hsd3b4,dync1h1
hsd3b4,slc25a13
hsd3b4,phb2
hsd3b4,capzb
hsd3b4,mthfd1
hsd3b4,rpl13a
hsd3b4,dnaja3
hsd3b4,ybx1
hsd3b4,rps19
hsd3b4,acot9
hsd3b4,flnb
hsd3b4,rdx
hsd3b4,lman1
hsd3b4,pitrm1
hsd3b4,chchd3
hsd3b4,ass1
hsd3b4,rpl23
hsd3b4,rpl4
hsd3b4,msi2
hsd3b4,slc25a5
hsd3b4,nme2
hsd3b4,idh3b
hsd3b4,gsn
hsd3b4,dlat
hsd3b4,myh10
hsd3b4,pdhb
hsd3b4,nucb1
hsd3b4,gpx1
hsd3b4,ppif
hsd3b4,rps3
hsd3b4,rpl27a
hsd3b4,tpp1
hsd3b4,cd81
hsd3b4,sorbs1
hsd3b4,myo5b
hsd3b4,pdcd6ip
hsd3b4,pa2g4
hsd3b4,ifitm3
hsd3b4,psap
hsd3b4,stt3b
hsd3b4,hadh
hsd3b4,fh1
hsd3b4,tpm1
hsd3b4,prkcsh
hsd3b4,hmgb2
hsd3b4,h2afy
hsd3b4,ptgs1
hsd3b4,cct5
hsd3b4,erp44
hsd3b4,trf
hsd3b4,caprin1
hsd3b4,clic4
hsd3b4,arhgdia
hsd3b4,hnrnpk
hsd3b4,cap1
hsd3b4,flna
hsd3b4,mtdh
hsd3b4,snd1
hsd3b4,opa1
hsd3b4,hnrnph1
hsd3b4,cyb5r3
hsd3b4,tns1
hsd3b4,mrpl12
hsd3b4,p4hb
hsd3b4,hbb-b1
hsd3b4,etfb
hsd3b4,prdx3
hsd3b4,nipsnap1
hsd3b4,sdf2l1
hsd3b4,samm50
hsd3b4,hdlbp
hsd3b4,prdx5
hsd3b4,mlec
hsd3b4,msn
hsd3b4,thy1
hsd3b4,atp5d
hsd3b4,hk1
hsd3b4,dstn
hsd3b4,ndufb5
hsd3b4,hsd17b12
hsd3b4,rrbp1
hsd3b4,ndufs1
hsd3b4,rpn2
hsd3b4,glud1
hsd3b4,mtch2
hsd3b4,eef1d
hsd3b4,rplp2
hsd3b4,txnrd2
hsd3b4,ap1b1
hsd3b4,cox5a
hsd3b4,atp5o
hsd3b4,arpc1a
hsd3b4,ahsa1
hsd3b4,abhd14b
hsd3b4,xpnpep1
hsd3b4,vamp8
hsd3b4,ak2
hsd3b4,napsa
hsd3b4,cbr1
hsd3b4,idh2
hsd3b4,mrps22
hsd3b4,lgmn
hsd3b4,slc3a2
hsd3b4,etfa
hsd3b4,aldh1l1
hsd3b4,lonp1
hsd3b4,ddost
hsd3b4,papss2
hsd3b4,tm9sf3
hsd3b4,ppic
hsd3b4,fam162a
hsd3b4,fkbp2
hsd3b4,gfer
hsd3b4,cox4i1
hsd3b4,hadha
hsd3b4,atp5f1
hsd3b4,etfdh
hsd3b4,ndufa10
hsd3b4,bdh1
hsd3b4,pdia4
hsd3b4,dpp4
hsd3b4,aldh7a1
hsd3b4,prodh
hsd3b4,prdx4
hsd3b4,cobll1
hsd3b4,idh3a
hsd3b4,ndufv2
hsd3b4,tfam
hsd3b4,aldh2
hsd3b4,tkt
hsd3b4,ktn1
hsd3b4,uqcrfs1
hsd3b4,gpx3
hsd3b4,arl8a
hsd3b4,txndc5
hsd3b4,bsg
hsd3b4,cnn2
hsd3b4,atp5h
hsd3b4,oat
hsd3b4,ndufb8
hsd3b4,gm2a
hsd3b4,idh1
hsd3b4,mdh1
hsd3b4,ephx2
hsd3b4,ndrg1
hsd3b4,ugt1a1
hsd3b4,qdpr
hsd3b4,cisd1
hsd3b4,hagh
hsd3b4,clint1
hsd3b4,dhrs4
hsd3b4,manf
hsd3b4,atp6v1f
hsd3b4,car2
hsd3b4,nudt19
hsd3b4,ank1
hsd3b4,abcg2
hsd3b4,ncln
hsd3b4,plvap
hsd3b4,galnt11
hsd3b4,ndufc2
hsd3b4,cyb5b
hsd3b4,cox6a1
hsd3b4,vill
hsd3b4,cpt2
hsd3b4,mtx2
hsd3b4,ctsz
hsd3b4,pccb
hsd3b4,ak3
hsd3b4,acss1
hsd3b4,acadl
hsd3b4,mrps36
hsd3b4,aqp1
hsd3b4,ndufb10
hsd3b4,agps
hsd3b4,mrps24
hsd3b4,mgll
hsd3b4,fxn
hsd3b4,acot1
hsd3b4,gsr
hsd3b4,ctsh
hsd3b4,cox6b1
hsd3b4,echs1
hsd3b4,iars2
hsd3b4,acox3
hsd3b4,4931406c07rik
hsd3b4,mrpl3
hsd3b4,gatm
hsd3b7,prkab1
hsd3b7,fasn
hsd3b7,actb
hsd3b7,igtp
hsd3b7,atp5b
hsd3b7,vdac1
hsd3b7,hspd1
hsd3b7,ganab
hsd3b7,hspa5
hsd3b7,hsp90b1
hsd3b7,cltc
hsd3b7,hyou1
hsd3b7,hsp90ab1
hsd3b7,fau
hsd3b7,rps20
hsd3b7,ncl
hsd3b7,cttn
hsd3b7,sqstm1
hsd3b7,park7
hsd3b7,hspa8
hsd3b7,amfr
hsd3b7,eif3a
hsd3b7,sod1
hsd3b7,dnajc3
hsd3b7,glo1
hsd3b7,ctsd
hsd3b7,h3f3a
hsd3b7,isg15
hsd3b7,eef2
hsd3b7,ldha
hsd3b7,myh9
hsd3b7,sord
hsd3b7,pdia3
hsd3b7,atp2a2
hsd3b7,bclaf1
hsd3b7,hsd17b11
hsd3b7,eif3i
hsd3b7,sdha
hsd3b7,tmed10
hsd3b7,lrp1
hsd3b7,h2afx
hsd3b7,rpn1
hsd3b7,ddx5
hsd3b7,lgals9
hsd3b7,calr
hsd3b7,itgb1
hsd3b7,grn
hsd3b7,trim25
hsd3b7,eif3f
hsd3b7,dnajb11
hsd3b7,nsf
hsd3b7,vps35
hsd3b7,tfrc
hsd3b7,hsd11b1
hsd3b7,acsl1
hsd3b7,pklr
hsd3b7,canx
hsd3b7,eef1g
hsd3b7,eef1b2
hsd3b7,prdx6
hsd3b7,rps11
hsd3b7,luc7l2
hsd3b7,por
hsd3b7,fbp1
hsd3b7,tap1
hsd3b7,rpl32
hsd3b7,hp
hsd3b7,pdia6
hsd3b7,prdx2
hsd3b7,uqcrc2
hsd3b7,atp5a1
hsd3b7,lap3
hsd3b7,cfl1
hsd3b7,dync1h1
hsd3b7,mthfd1
hsd3b7,ssb
hsd3b7,ybx1
hsd3b7,rps19
hsd3b7,lman1
hsd3b7,rps8
hsd3b7,psmd2
hsd3b7,acsl5
hsd3b7,krt18
hsd3b7,ass1
hsd3b7,rpl23
hsd3b7,rpl4
hsd3b7,nme2
hsd3b7,ostc
hsd3b7,khk
hsd3b7,nucb1
hsd3b7,gpx1
hsd3b7,ddx17
hsd3b7,rps3
hsd3b7,rpl27a
hsd3b7,tpp1
hsd3b7,gspt1
hsd3b7,os9
hsd3b7,clu
hsd3b7,pa2g4
hsd3b7,psap
hsd3b7,ubqln1
hsd3b7,prpf19
hsd3b7,prkcsh
hsd3b7,hnrnpd
hsd3b7,erp44
hsd3b7,trf
hsd3b7,lman2
hsd3b7,caprin1
hsd3b7,hnrnpk
hsd3b7,flna
hsd3b7,mtdh
hsd3b7,snd1
hsd3b7,asph
hsd3b7,ctsc
hsd3b7,cyb5r3
hsd3b7,mad2l1
hsd3b7,h2-d1
hsd3b7,p4hb
hsd3b7,hbb-b1
hsd3b7,alad
hsd3b7,snrpb
hsd3b7,ddx3x
hsd3b7,sdf2l1
hsd3b7,hdlbp
hsd3b7,mlec
hsd3b7,c3
hsd3b7,msn
hsd3b7,thy1
hsd3b7,atp5d
hsd3b7,mgst1
hsd3b7,dstn
hsd3b7,rpl18
hsd3b7,hsd17b12
hsd3b7,rrbp1
hsd3b7,mogs
hsd3b7,rpn2
hsd3b7,hnrnpm
hsd3b7,eef1d
hsd3b7,cnpy2
hsd3b7,rplp2
hsd3b7,atp5o
hsd3b7,pygl
hsd3b7,rpl37a
hsd3b7,ak2
hsd3b7,rps10
hsd3b7,hnrnpab
hsd3b7,usp10
hsd3b7,eftud2
hsd3b7,rpl13
hsd3b7,g3bp2
hsd3b7,sel1l
hsd3b7,cnpy3
hsd3b7,aldh1l1
hsd3b7,pdia5
hsd3b7,ddost
hsd3b7,banf1
hsd3b7,fkbp2
hsd3b7,hadha
hsd3b7,eif3h
hsd3b7,minpp1
hsd3b7,fads1
hsd3b7,crip2
hsd3b7,psmb6
hsd3b7,pdia4
hsd3b7,irgm1
hsd3b7,dpp4
hsd3b7,aldh7a1
hsd3b7,gstt3
hsd3b7,prdx4
hsd3b7,pon2
hsd3b7,hint1
hsd3b7,sec63
hsd3b7,aldh1a1
hsd3b7,tecr
hsd3b7,arl8a
hsd3b7,txndc5
hsd3b7,atp5h
hsd3b7,pnp
hsd3b7,wdr61
hsd3b7,grhpr
hsd3b7,rbm25
hsd3b7,idh1
hsd3b7,gstm1
hsd3b7,gusb
hsd3b7,mdh1
hsd3b7,ephx2
hsd3b7,ndrg1
hsd3b7,ugt1a1
hsd3b7,qdpr
hsd3b7,fndc3a
hsd3b7,ero1lb
hsd3b7,cisd1
hsd3b7,gorasp2
hsd3b7,hagh
hsd3b7,clint1
hsd3b7,dhrs4
hsd3b7,manf
